archetype,kind,instance,base_instance,difficulty,sub_class,perturbation_type,paradigm,model,run_label,success,total_tokens,input_tokens,output_tokens,tool_call_count,latency_s,iteration_overflow,error,source_file
A,robustness,ra-low-1,a-low-2,low,,typos,workflow,gpt-5.2-2025-12-11,robustness,True,5355,5103,252,10,26.04826581600355,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-low-1,a-low-2,low,,typos,agent,gpt-5.2-2025-12-11,robustness,True,15466,15299,167,5,12.28867673399509,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-low-2,a-low-4,low,,colloquial,workflow,gpt-5.2-2025-12-11,robustness,True,5776,5594,182,8,19.60789657299756,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-low-2,a-low-4,low,,colloquial,agent,gpt-5.2-2025-12-11,robustness,True,6239,6097,142,5,7.375585064000916,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-med-1,a-med-3,med,,jargon_synonym,workflow,gpt-5.2-2025-12-11,robustness,False,6389,6090,299,9,22.803736467991257,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-med-1,a-med-3,med,,jargon_synonym,agent,gpt-5.2-2025-12-11,robustness,True,5215,5082,133,3,12.346158036991255,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-med-2,a-med-5,med,,redundant_selfcorrecting,workflow,gpt-5.2-2025-12-11,robustness,True,5658,5377,281,10,29.220013498998014,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-med-2,a-med-5,med,,redundant_selfcorrecting,agent,gpt-5.2-2025-12-11,robustness,True,3591,3461,130,3,9.665172312990762,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-high-1,a-high-5,high,,jargon_typos,workflow,gpt-5.2-2025-12-11,robustness,True,6893,6649,244,10,25.3652573809959,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
A,robustness,ra-high-1,a-high-5,high,,jargon_typos,agent,gpt-5.2-2025-12-11,robustness,True,9257,9158,99,3,11.164835354997194,,,data/results/final/gpt-5.2-2025-12-11/robustness/a_robustness_20260707_100508.json
B,robustness,r-low-1,b-low-1,low,,typos,workflow,gpt-5.2-2025-12-11,robustness,True,1984,1878,106,0,4.679520890000276,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-low-1,b-low-1,low,,typos,agent,gpt-5.2-2025-12-11,robustness,True,4282,4216,66,2,3.9488992290062015,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-low-2,b-low-4,low,,colloquial,workflow,gpt-5.2-2025-12-11,robustness,True,1996,1886,110,0,2.848838361998787,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-low-2,b-low-4,low,,colloquial,agent,gpt-5.2-2025-12-11,robustness,True,4362,4297,65,2,4.102492695004912,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-low-3,b-low-2,low,,jargon_synonym,workflow,gpt-5.2-2025-12-11,robustness,True,1940,1869,71,0,3.9423628300064593,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-low-3,b-low-2,low,,jargon_synonym,agent,gpt-5.2-2025-12-11,robustness,True,2726,2694,32,1,2.6590548750027665,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-med-1,b-med-2,med,,redundant_selfcorrecting,workflow,gpt-5.2-2025-12-11,robustness,True,2043,1908,135,1,3.7889210850044037,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-med-1,b-med-2,med,,redundant_selfcorrecting,agent,gpt-5.2-2025-12-11,robustness,True,4326,4261,65,2,3.9211634419989423,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-high-1,b-high-2,high,,jargon_typos,workflow,gpt-5.2-2025-12-11,robustness,False,2241,1929,312,2,6.7256924560060725,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
B,robustness,r-high-1,b-high-2,high,,jargon_typos,agent,gpt-5.2-2025-12-11,robustness,True,9693,9413,280,6,9.523342162996414,,,data/results/final/gpt-5.2-2025-12-11/robustness/b_robustness_20260706_201715.json
